"filename", "language", "PHP", "SCSS", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\Proyecto\admin\admin_index.php", "PHP", 177, 0, 0, 0, 5, 10, 192
"c:\xampp\htdocs\Proyecto\admin\products\add_product.php", "PHP", 191, 0, 0, 0, 15, 15, 221
"c:\xampp\htdocs\Proyecto\admin\products\category\add_category.php", "PHP", 116, 0, 0, 0, 5, 11, 132
"c:\xampp\htdocs\Proyecto\admin\products\category\process_add_category.php", "PHP", 17, 0, 0, 0, 8, 5, 30
"c:\xampp\htdocs\Proyecto\admin\products\product_registration_process.php", "PHP", 44, 0, 0, 0, 12, 10, 66
"c:\xampp\htdocs\Proyecto\admin\products\talle\add_talle.php", "PHP", 116, 0, 0, 0, 5, 9, 130
"c:\xampp\htdocs\Proyecto\admin\products\talle\process_add_talle.php", "PHP", 17, 0, 0, 0, 8, 5, 30
"c:\xampp\htdocs\Proyecto\admin\user\report\get_data.php", "PHP", 34, 0, 0, 0, 12, 11, 57
"c:\xampp\htdocs\Proyecto\admin\user\report\get_data_last_hour.php", "PHP", 20, 0, 0, 0, 0, 7, 27
"c:\xampp\htdocs\Proyecto\admin\user\report\get_data_month.php", "PHP", 20, 0, 0, 0, 0, 7, 27
"c:\xampp\htdocs\Proyecto\admin\user\report\get_data_today.php", "PHP", 67, 0, 0, 0, 2, 3, 72
"c:\xampp\htdocs\Proyecto\admin\user\report\get_data_week.php", "PHP", 18, 0, 0, 0, 0, 7, 25
"c:\xampp\htdocs\Proyecto\admin\user\report\get_data_year.php", "PHP", 18, 0, 0, 0, 0, 6, 24
"c:\xampp\htdocs\Proyecto\admin\user\user_list.php", "PHP", 203, 0, 0, 0, 25, 29, 257
"c:\xampp\htdocs\Proyecto\admin\user\user_report.php", "PHP", 176, 0, 0, 0, 11, 25, 212
"c:\xampp\htdocs\Proyecto\components\buttons.php", "PHP", 9, 0, 0, 0, 4, 1, 14
"c:\xampp\htdocs\Proyecto\components\footer.php", "PHP", 56, 0, 0, 0, 0, 1, 57
"c:\xampp\htdocs\Proyecto\components\topbar.php", "PHP", 67, 0, 0, 0, 3, 0, 70
"c:\xampp\htdocs\Proyecto\css\style.css", "CSS", 0, 0, 0, 8375, 8, 1202, 9585
"c:\xampp\htdocs\Proyecto\css\style.min.css", "CSS", 0, 0, 0, 1, 5, 1, 7
"c:\xampp\htdocs\Proyecto\db_connection\db_connection.php", "PHP", 10, 0, 0, 0, 0, 2, 12
"c:\xampp\htdocs\Proyecto\js\main.js", "JavaScript", 0, 0, 88, 0, 5, 12, 105
