Date : 2023-09-18 00:26:01
Directory : c:\xampp\htdocs\Proyecto
Total : 141 files,  20620 codes, 2425 comments, 3561 blanks, all 26606 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| CSS        |          8 |      8,591 |         67 |      1,225 |      9,883 |
| SCSS       |         91 |      5,673 |      1,162 |      1,465 |      8,300 |
| PHP        |         37 |      4,211 |        269 |        384 |      4,864 |
| JavaScript |          5 |      2,145 |        927 |        487 |      3,559 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                             |        141 |     20,620 |      2,425 |      3,561 |     26,606 |
| admin                                                                         |         15 |      1,234 |        108 |        160 |      1,502 |
| admin (Files)                                                                 |          1 |        177 |          5 |         10 |        192 |
| admin\products                                                                |          6 |        501 |         53 |         55 |        609 |
| admin\products (Files)                                                        |          2 |        235 |         27 |         25 |        287 |
| admin\products\category                                                       |          2 |        133 |         13 |         16 |        162 |
| admin\products\talle                                                          |          2 |        133 |         13 |         14 |        160 |
| admin\user                                                                    |          8 |        556 |         50 |         95 |        701 |
| admin\user (Files)                                                            |          2 |        379 |         36 |         54 |        469 |
| admin\user\report                                                             |          6 |        177 |         14 |         41 |        232 |
| components                                                                    |          3 |        132 |          7 |          2 |        141 |
| css                                                                           |          2 |      8,376 |         13 |      1,203 |      9,592 |
| db_connection                                                                 |          1 |         10 |          0 |          2 |         12 |
| js                                                                            |          1 |         88 |          5 |         12 |        105 |
| lib                                                                           |         10 |      2,272 |        976 |        497 |      3,745 |
| lib\easing                                                                    |          2 |        154 |          9 |          8 |        171 |
| lib\owlcarousel                                                               |          8 |      2,118 |        967 |        489 |      3,574 |
| lib\owlcarousel (Files)                                                       |          2 |      1,903 |        913 |        467 |      3,283 |
| lib\owlcarousel\assets                                                        |          6 |        215 |         54 |         22 |        291 |
| login                                                                         |          2 |        145 |         15 |         19 |        179 |
| pag                                                                           |          6 |      1,568 |          6 |         75 |      1,649 |
| register                                                                      |          2 |        262 |         25 |         24 |        311 |
| scss                                                                          |         91 |      5,673 |      1,162 |      1,465 |      8,300 |
| scss (Files)                                                                  |          1 |        141 |          2 |         40 |        183 |
| scss\bootstrap                                                                |         90 |      5,532 |      1,160 |      1,425 |      8,117 |
| scss\bootstrap\scss                                                           |         90 |      5,532 |      1,160 |      1,425 |      8,117 |
| scss\bootstrap\scss (Files)                                                   |         40 |      4,215 |        885 |      1,121 |      6,221 |
| scss\bootstrap\scss\mixins                                                    |         31 |        850 |        174 |        161 |      1,185 |
| scss\bootstrap\scss\utilities                                                 |         18 |        341 |         58 |        107 |        506 |
| scss\bootstrap\scss\vendor                                                    |          1 |        126 |         43 |         36 |        205 |
| user                                                                          |          8 |        860 |        108 |        102 |      1,070 |
| user (Files)                                                                  |          2 |        164 |         23 |         28 |        215 |
| user\address                                                                  |          2 |        233 |         24 |         21 |        278 |
| user\personal_information                                                     |          2 |        227 |         38 |         34 |        299 |
